"","time","S","I1","R1","I2","R2","I.total","total.birds","I.Prop","B"
"1",0,99,1,0,0,0,1,100,0.01,"0.004125"
"2",1,100.060103126706,1.11421524269175,0.0347709415770825,7.13926493634818e-05,1.33152894744536e-06,1.11428663534111,101.209162035153,0.0110097407481161,"0.004125"
"3",2,101.081383897748,1.24688520821984,0.0727362717301636,0.000299578784148713,1.09963884839187e-05,1.24718478700399,102.401315952871,0.012179382417097,"0.004125"
"4",3,102.054030653977,1.40123822779868,0.114430576717232,0.000714425121644935,3.85305595999833e-05,1.40195265292032,103.570452414174,0.0135362221583621,"0.004125"
"5",4,102.966480019411,1.5810493916585,0.160472410652991,0.00136030881621752,9.5458225398128e-05,1.58240970047472,104.709457588764,0.0151123856136231,"0.004125"
"6",5,103.805165423813,1.79069964075046,0.211573860951449,0.0023001767746025,0.000196196698093586,1.79299981752507,105.809935298987,0.0169454769295396,"0.004125"
"7",6,104.554255721551,2.03522321553989,0.268549352566806,0.00362118572797581,0.000359220707960861,2.03884440126787,106.862008696094,0.0190792258740537,"0.004125"
"8",7,105.195381458299,2.32033658337007,0.332323456795032,0.00544236659057263,0.000608629557580269,2.32577894996064,107.854092494612,0.021564123309246,"0.004125"
"9",8,105.707428563362,2.65241871892528,0.40393377348066,0.00792403160168404,0.000976050809878763,2.66034275052696,108.77268113818,0.0244578208672395,"0.004125"
"10",9,106.066383149152,3.03842517409919,0.484528229947674,0.0112807018072578,0.00150331205724737,3.04970587590644,109.602120567063,0.0278252451697811,"0.004125"
"11",10,106.245341326575,3.48569593810079,0.575351830684339,0.0157963257426734,0.00224574192228846,3.50149226384346,110.324431163025,0.0317381402009618,"0.004125"
"12",11,106.21474674154,4.00160494652432,0.677718093954844,0.0218429963166736,0.00327665622603648,4.023447942841,110.919189434561,0.0362736868467173,"0.004125"
"13",12,105.942955114522,4.59303327489604,0.792962453468265,0.0299006693897128,0.00469246747286257,4.62293394428575,111.363543979749,0.0415120943450435,"0.004125"
"14",13,105.397268966317,5.26557204932262,0.922368307397107,0.0405784220214106,0.00661932087817135,5.30615047134403,111.632407065936,0.0475323484533476,"0.004125"
"15",14,104.545502554912,6.02248821130488,1.06706671672865,0.0546308916239912,0.00922045741612354,6.07711910292887,111.698908831986,0.0544062530822918,"0.004125"
"16",15,103.358190097674,6.8634242228994,1.2279050792743,0.0729660683953132,0.0127043449054131,6.93639029129471,111.535189813148,0.0621901509551833,"0.004125"
"17",16,101.811420440428,7.78292930030458,1.40529019807069,0.0966348700910788,0.0173327081209291,7.87956417039566,111.113607517015,0.0709144842515262,"0.004125"
"18",17,99.8901815314133,8.76899177184537,1.59901655037358,0.126791659972141,0.0234272056138836,8.89578343181751,110.408408719218,0.0805716116644751,"0.004125"
"19",18,97.5917310965737,9.80193514204102,1.80811032624143,0.164616091858425,0.0313725127917267,9.96655123389944,109.397765169506,0.0911037919143666,"0.004125"
"20",19,94.9286828525545,10.8539450125475,2.03070855036069,0.21118903844416,0.0416138932491149,11.0651340509916,108.066139347156,0.102392239769439,"0.004125"
"21",20,91.9309882142991,11.8896965661416,2.26401720163316,0.26732427388753,0.0546464528941687,12.1570208400291,106.406672708856,0.114250549618185,"0.004125"
"22",21,88.6462404640651,12.8682973634763,2.50437414670552,0.333373098331551,0.0709941619768444,13.2016704618079,104.423279234555,0.126424591897313,"0.004125"
"23",22,85.1378495148186,13.7465606517713,2.74743182901914,0.409032719581889,0.0911779641682571,14.1555933713532,102.132052679359,0.138600889730419,"0.004125"
"24",23,81.4810656348241,14.4832372993035,2.98844770969682,0.493203242767753,0.115674501301414,14.9764405420713,99.5616283878936,0.150423820748721,"0.004125"
"25",24,77.7573697685556,15.0434890528003,3.22264165398462,0.583937115287024,0.144869685723525,15.6274261680873,96.7523072763511,0.16151993278518,"0.004125"
"26",25,74.0481113714062,15.402751825939,3.44556347096286,0.678510884634091,0.179013204658447,16.0812627105731,93.7539507576007,0.171526240554395,"0.004125"
"27",26,70.4284781354388,15.5492035895131,3.65340884911099,0.773622909659438,0.218181153771492,16.3228264991726,90.6228946374939,0.180118132007,"0.004125"
"28",27,66.9627533658294,15.484401107285,3.84323632690009,0.865687320417051,0.262253181475275,16.350088427702,87.4183313019068,0.187032721675224,"0.004125"
"29",28,63.7013942025436,15.2221293736594,4.01306596074009,0.951171268896442,0.310907801776701,16.1733006425558,84.1986686076163,0.192084992672828,"0.004125"
"30",29,60.6800540434506,14.7858490804721,4.16186389292488,1.02691658687088,0.36363671631243,15.812765667343,81.0183203200309,0.195175185129497,"0.004125"
"31",30,57.9202544479199,14.2054002182487,4.28943945718704,1.09039279140796,0.419775431529086,15.2957930096566,77.9252623462927,0.196287988633051,"0.004125"
"32",31,55.4311784778696,13.5136163091023,4.39629050240001,1.13985262949367,0.478545011591762,14.653468938596,74.9594829304573,0.195485192343049,"0.004125"
"33",32,53.2120663260867,12.7433407713487,4.48342874198337,1.17438273561355,0.539099302392383,13.9177235069622,72.1523178774247,0.192893643841162,"0.004125"
"34",33,51.2547397056614,11.92514938582,4.55221152978808,1.19386236076945,0.60057183973505,13.1190117465894,69.526534821774,0.188690717583136,"0.004125"
"35",34,49.5459354843127,11.0858619030348,4.60419593485661,1.19885574841508,0.662117923556563,12.2847176514499,67.0969669941757,0.18308901581969,"0.004125"
"36",35,48.0692814283459,10.2477811846908,4.64102179924777,1.1904655203433,0.722949105091857,11.4382467050341,64.8714990377197,0.176321603087718,"0.004125"
"37",36,46.8068395390544,9.42852529117295,4.6643257761905,1.1701736484643,0.782358268385387,10.5986989396373,62.8522225232676,0.168628864885624,"0.004125"
"38",37,45.7402567071579,8.64124175551961,4.67568098580984,1.13969083777848,0.839735955805096,9.7809325932981,61.0366062420709,0.160246992673658,"0.004125"
"39",38,44.8515589242158,7.89510791964827,4.67655908953462,1.10082130756021,0.894578624274491,8.99592922720848,59.4186258652334,0.151399146247711,"0.004125"
"40",39,44.1236585721947,7.19593756658868,4.6683100987154,1.05535692954327,0.946489456802601,8.25129449613195,57.9897526238446,0.142288837644379,"0.004125"
"41",40,43.5406536616086,6.54681802611849,4.65215371588553,1.00499689351936,0.995174377941455,7.55181491963784,56.7397966750734,0.133095558358873,"0.004125"
"42",41,43.0879687258171,5.94871731550958,4.62917961526658,0.951293718132246,1.04043406304648,6.90001103364182,55.657593437772,0.123972500560169,"0.004125"
"43",42,42.7523956449222,5.40101819830156,4.60035278490642,0.89562120841603,1.08215376068485,6.29663940671759,54.731541597231,0.115045899000151,"0.004125"
"44",43,42.5220630257302,4.90197662201026,4.5665221849089,0.839159731798887,1.12029191285707,5.74113635380914,53.9500134773053,0.106415846517336,"0.004125"
"45",44,42.3863651123897,4.44909219986129,4.5284310437934,0.782895339134762,1.15486842267969,5.23198753899605,53.3016521178589,0.0981580744894596,"0.004125"
"46",45,42.3358675457964,4.03940096757048,4.48672773018739,0.727628279006464,1.18595327692819,4.76702924657694,52.7755777994889,0.0903264245573661,"0.004125"
"47",46,42.3622038445067,3.6696989516602,4.44197640798635,0.67398754395747,1.21365598508307,4.34368649561767,52.3615227331938,0.0829556947331491,"0.004125"
"48",47,42.457969772573,3.336707053238,4.39466721313733,0.622449140148111,1.23811601344107,3.95915619338611,52.0499091925375,0.0760646128841613,"0.004125"
"49",48,42.6166214992926,3.03718879881665,4.34522558626149,0.573355762181314,1.25949442247875,3.61054456099796,51.8318860690308,0.0696587532274893,"0.004125"
"50",49,42.8323800467704,2.76803053159084,4.29402072481792,0.526936605801021,1.27796669761944,3.29496713739186,51.6993346065996,0.0637332600596227,"0.004125"
"51",50,43.1001436325619,2.52629275277803,4.24137311291775,0.483326314636181,1.29371674266912,3.00961906741421,51.644852555563,0.0582752959586101,"0.004125"
"52",51,43.4154084269728,2.30923987779597,4.18756114695753,0.442582410733368,1.30693196900617,2.75182228852934,51.6617238314658,0.0532661724085419,"0.004125"
"53",52,43.7741976292981,2.11435412955019,4.13282692769978,0.404700926578885,1.31779936081159,2.51905505612907,51.7438789739385,0.0486831506659527,"0.004125"
"54",53,44.1729984755819,1.93933821427674,4.07738128358637,0.369630077672185,1.32650240781887,2.30896829194893,51.8858504589361,0.044500924077101,"0.004125"
"55",54,44.6087065775931,1.78211030883645,4.02140810643789,0.337281988926611,1.33321878470372,2.11939229776307,52.0827257664978,0.0406928068101682,"0.004125"
"56",55,45.0785769121004,1.64079402580134,3.96506808042568,0.307542577746027,1.33811866084198,1.94833660354737,52.3301002569154,0.0372316619685798,"0.004125"
"57",56,45.5801807736361,1.51370535485776,3.90850187811156,0.280279737389973,1.34136353628479,1.79398509224773,52.6240312802802,0.0340906055389944,"0.004125"
"58",57,46.1113680156758,1.39933800801055,3.85183289524259,0.255350004863292,1.34310550668161,1.65468801287384,52.9609944304738,0.0312435223444697,"0.004125"
"59",58,46.6702339538775,1.29634818692422,3.79516958770893,0.232603900804519,1.34348687304661,1.52895208772874,53.3378425023617,0.0286654280712805,"0.004125"
"60",59,47.2550903587179,1.20353946998179,3.73860746732356,0.211890126474014,1.34264002355281,1.4154295964558,53.75176744605,0.0263327079965594,"0.004125"
"61",60,47.8644400208945,1.11984827449075,3.68223080682752,0.19305879417146,1.3406875249055,1.31290706866221,54.2002654212898,0.0242232590275563,"0.004125"
"62",61,48.4969544314753,1.04433017876936,3.62611409755086,0.175963850130608,1.33774237150215,1.22029402889997,54.6811049294283,0.022316557620313,"0.004125"
"63",62,49.1514541716743,0.976147261167178,3.57032329755572,0.160464832640409,1.33390834932746,1.13661209380759,55.1922979123651,0.020593672247753,"0.004125"
"64",63,49.8268916566505,0.914556525099919,3.51491690273254,0.146428090077139,1.32928047953433,1.06098461517706,55.7320736540944,0.019037235573938,"0.004125"
"65",64,50.5223359224055,0.858899419314065,3.45994686853502,0.133727565867853,1.32394551362007,0.992626985181918,56.2988552897425,0.0176313884194156,"0.004125"
"66",65,51.2369591840539,0.808592422206136,3.40545940600234,0.122245241503191,1.31798245787553,0.930837663709327,56.8912387116411,0.0163617049793444,"0.004125"
"67",66,51.9700249273233,0.763118633694363,3.35149567217144,0.111871313990293,1.31146310977136,0.874989947684656,57.5079736569507,0.015215106567729,"0.004125"
"68",67,52.7208773351016,0.722020311145563,3.29809237127238,0.102504169711004,1.3044525929809,0.824524480856567,58.1479467802114,0.0141797694761798,"0.004125"
"69",68,53.4889318413818,0.684892254312967,3.24528228286019,0.0940502107371904,1.29700988111571,0.778942465050158,58.8101664704079,0.0132450307795355,"0.004125"
"70",69,54.2736667142831,0.651376001422358,3.19309472495077,0.0864235653879068,1.28918830340401,0.737799566810264,59.4937493094481,0.0124012955205211,"0.004125"
"71",70,55.0746154225197,0.621154688660875,3.14155596969629,0.0795457350859852,1.28103602664312,0.70070042374686,60.1979078426059,0.0116399464509451,"0.004125"
"72",71,55.8913597932441,0.593948593563828,3.09068961104799,0.073345182141518,1.2725965108979,0.667293775705346,60.9219396908954,0.0109532588602899,"0.004125"
